steamLink,header,Name,Copies Sold (LTD),Gross Revenue (LTD),Steam Followers,Current CCU,Today's Top CCU,All-Time High CCU,Review Count,Review Score,Release Date,Tags
https://store.steampowered.com/app/698780,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/698780/header.jpg?t=1681943582,Doki Doki Literature Club!,6300500,46000,155898,749,778,7402,205899,96%,2017-09-22,"[""Psychological Horror"",""Visual Novel"",""Anime"",""Free to Play"",""Dating Sim"",""Horror"",""Cute"",""Dark"",""Story Rich"",""Romance"",""Singleplayer"",""Great Soundtrack"",""Gore"",""Violent"",""Indie"",""Sexual Content"",""Memes"",""First-Person"",""Casual"",""Adventure""]"
https://store.steampowered.com/app/632470,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/632470/header.jpg?t=1727256511,Disco Elysium - The Final Cut,3703200,62416000,210543,3261,3261,8081,95753,93%,2019-10-15,"[""RPG"",""Story Rich"",""Choices Matter"",""Detective"",""Isometric"",""Atmospheric"",""Singleplayer"",""Point & Click"",""CRPG"",""Noir"",""Surreal"",""Political"",""Visual Novel"",""Exploration"",""Funny"",""Adventure"",""Indie"",""Open World"",""Character Customization"",""Sexual Content""]"
https://store.steampowered.com/app/1832640,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1832640/header.jpg?t=1673932541,Mirror 2: Project X,2879000,2655000,95381,7,14,45657,112765,24%,2022-01-20,"[""3D"",""Match 3"",""Anime"",""Female Protagonist"",""Drama"",""Visual Novel"",""Interactive Fiction"",""Singleplayer"",""Multiple Endings"",""FPS"",""RPG"",""Casual"",""Story Rich"",""FMV"",""Colorful"",""Adventure"",""Early Access"",""Indie"",""3D Platformer"",""Shooter""]"
https://store.steampowered.com/app/331470,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/331470/header.jpg?t=1729073969,Everlasting Summer,2573100,0,73676,608,608,1907,74449,94%,2014-11-19,"[""Visual Novel"",""Story Rich"",""Free to Play"",""Anime"",""Great Soundtrack"",""Choices Matter"",""Mature"",""Romance"",""Singleplayer"",""Nudity"",""Multiple Endings"",""2D"",""Dating Sim"",""Replay Value"",""Mystery"",""Adventure"",""Comedy"",""Indie"",""Classic"",""Casual""]"
https://store.steampowered.com/app/644560,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/644560/header.jpg?t=1665690863,Mirror,2215900,3090000,149242,90,211,8250,73863,96%,2018-04-19,"[""Sexual Content"",""Nudity"",""Hentai"",""Mature"",""Anime"",""NSFW"",""Match 3"",""Female Protagonist"",""Visual Novel"",""Dating Sim"",""Singleplayer"",""RPG"",""Puzzle"",""Story Rich"",""Cute"",""Adventure"",""Indie"",""JRPG"",""Shooter"",""Casual""]"
https://store.steampowered.com/app/1973530,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1973530/header.jpg?t=1728532474,Limbus Company,1985900,31191000,31645,7356,19976,50414,46648,83%,2023-02-26,"[""Lore-Rich"",""Story Rich"",""Turn-Based Tactics"",""Turn-Based Combat"",""RPG"",""Free to Play"",""Visual Novel"",""Strategy"",""Singleplayer"",""Strategy RPG"",""Anime"",""PvE"",""Turn-Based Strategy"",""2D"",""Action"",""Dark Fantasy"",""Roguelite"",""Sci-fi"",""Great Soundtrack"",""Colorful""]"
https://store.steampowered.com/app/1687950,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1687950/header.jpg?t=1733297467,Persona 5 Royal,1970100,61215000,131656,7884,13909,35474,60793,96%,2022-10-20,"[""JRPG"",""Story Rich"",""Turn-Based Combat"",""Great Soundtrack"",""Anime"",""RPG"",""Singleplayer"",""Party-Based RPG"",""Dating Sim"",""Multiple Endings"",""Turn-Based Strategy"",""Emotional"",""Visual Novel"",""Sexual Content"",""Colorful"",""Adventure"",""Heist"",""Soundtrack"",""Detective"",""Violent""]"
https://store.steampowered.com/app/417860,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/417860/header.jpg?t=1619107266,Emily is Away,1758400,0,15105,18,20,2803,31724,88%,2015-11-20,"[""Free to Play"",""Story Rich"",""Singleplayer"",""Choices Matter"",""Indie"",""Interactive Fiction"",""Simulation"",""Retro"",""Casual"",""Choose Your Own Adventure"",""Visual Novel"",""Romance"",""Pixel Graphics"",""Dating Sim"",""Short"",""Text-Based"",""Adventure"",""2D"",""Funny"",""Illuminati""]"
https://store.steampowered.com/app/2322560,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2322560/header.jpg?t=1731048412,Love Is All Around,1680000,14450000,100308,104,409,64641,35442,93%,2023-10-17,"[""Dating Sim"",""Sexual Content"",""Singleplayer"",""FMV"",""Visual Novel"",""Romance"",""First-Person"",""Multiple Endings"",""Choices Matter"",""Interactive Fiction"",""Story Rich"",""Immersive Sim"",""RPG"",""Choose Your Own Adventure"",""Emotional"",""Female Protagonist"",""Drama"",""Relaxing"",""Simulation"",""Multiplayer""]"
https://store.steampowered.com/app/1451940,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1451940/header.jpg?t=1730165409,NEEDY STREAMER OVERLOAD,1484300,12577000,100848,419,595,3674,40476,95%,2022-01-21,"[""Psychological Horror"",""Anime"",""Visual Novel"",""Sexual Content"",""Cute"",""Pixel Graphics"",""Multiple Endings"",""Psychological"",""2D"",""Dark Humor"",""Story Rich"",""Point & Click"",""Psychedelic"",""Choose Your Own Adventure"",""Colorful"",""Singleplayer"",""Adventure"",""Text-Based"",""Hentai"",""Conversation""]"
